Entity;Week;Day;Flights;Day 2019;Flights 2019 (Reference);% vs 2019 (Daily)
Albania;6;2020-02-08;55;2019-02-09;54;1,85%
Albania;6;2020-02-09;58;2019-02-10;64;-9,38%
Albania;7;2020-02-10;68;2019-02-11;65;4,62%
Albania;7;2020-02-11;54;2019-02-12;58;-6,90%
Albania;7;2020-02-12;57;2019-02-13;54;5,56%
Albania;7;2020-02-13;70;2019-02-14;64;9,38%
Albania;7;2020-02-14;70;2019-02-15;70;0,00%
Albania;7;2020-02-15;54;2019-02-16;53;1,89%
Albania;7;2020-02-16;63;2019-02-17;67;-5,97%
Albania;8;2020-02-17;67;2019-02-18;67;0,00%
Albania;8;2020-02-18;53;2019-02-19;52;1,92%
Albania;8;2020-02-19;58;2019-02-20;51;13,73%
Albania;8;2020-02-20;72;2019-02-21;57;26,32%
Albania;8;2020-02-21;65;2019-02-22;66;-1,52%
Albania;8;2020-02-22;52;2019-02-23;54;-3,70%
Albania;8;2020-02-23;61;2019-02-24;65;-6,15%
Albania;9;2020-02-24;70;2019-02-25;65;7,69%
Albania;9;2020-02-25;53;2019-02-26;52;1,92%
Albania;9;2020-02-26;58;2019-02-27;58;0,00%
Albania;9;2020-02-27;72;2019-02-28;65;10,77%
Albania;9;2020-02-28;68;2019-03-01;65;4,62%
Albania;9;2020-02-29;50;2019-03-02;49;2,04%
Albania;9;2020-03-01;61;2019-03-03;67;-8,96%
Albania;10;2020-03-02;72;2019-03-04;65;10,77%
Albania;10;2020-03-03;55;2019-03-05;51;7,84%
Albania;10;2020-03-04;53;2019-03-06;53;0,00%
Albania;10;2020-03-05;69;2019-03-07;67;2,99%
Albania;10;2020-03-06;67;2019-03-08;65;3,08%
Albania;10;2020-03-07;52;2019-03-09;48;8,33%
Albania;10;2020-03-08;53;2019-03-10;65;-18,46%
Albania;11;2020-03-09;46;2019-03-11;67;-31,34%
Albania;11;2020-03-10;37;2019-03-12;53;-30,19%
Albania;11;2020-03-11;33;2019-03-13;57;-42,11%
Albania;11;2020-03-12;42;2019-03-14;60;-30,00%
Albania;11;2020-03-13;36;2019-03-15;68;-47,06%
Albania;11;2020-03-14;26;2019-03-16;49;-46,94%
Albania;11;2020-03-15;28;2019-03-17;62;-54,84%
Albania;12;2020-03-16;30;2019-03-18;65;-53,85%
Albania;12;2020-03-17;21;2019-03-19;45;-53,33%
Albania;12;2020-03-18;17;2019-03-20;60;-71,67%
Albania;12;2020-03-19;17;2019-03-21;64;-73,44%
Albania;12;2020-03-20;12;2019-03-22;66;-81,82%
Albania;12;2020-03-21;10;2019-03-23;55;-81,82%
Albania;12;2020-03-22;10;2019-03-24;71;-85,92%
Albania;13;2020-03-23;6;2019-03-25;62;-90,32%
Albania;13;2020-03-24;7;2019-03-26;49;-85,71%
Albania;13;2020-03-25;5;2019-03-27;52;-90,38%
Albania;13;2020-03-26;8;2019-03-28;62;-87,10%
Albania;13;2020-03-27;17;2019-03-29;80;-78,75%
Albania;13;2020-03-28;7;2019-03-30;49;-85,71%
Albania;13;2020-03-29;2;2019-03-31;61;-96,72%
Albania;14;2020-03-30;10;2019-04-01;77;-87,01%
Albania;14;2020-03-31;8;2019-04-02;59;-86,44%
Albania;14;2020-04-01;6;2019-04-03;70;-91,43%
Albania;14;2020-04-02;3;2019-04-04;67;-95,52%
Albania;14;2020-04-03;12;2019-04-05;77;-84,42%
Albania;14;2020-04-04;0;2019-04-06;54;-100,00%
Albania;14;2020-04-05;2;2019-04-07;68;-97,06%
Albania;15;2020-04-06;4;2019-04-08;75;-94,67%
Albania;15;2020-04-07;6;2019-04-09;58;-89,66%
Albania;15;2020-04-08;6;2019-04-10;66;-90,91%
Albania;15;2020-04-09;4;2019-04-11;66;-93,94%
Albania;15;2020-04-10;6;2019-04-12;82;-92,68%
Albania;15;2020-04-11;0;2019-04-13;58;-100,00%
Albania;15;2020-04-12;0;2019-04-14;71;-100,00%
Albania;16;2020-04-13;4;2019-04-15;80;-95,00%
Albania;16;2020-04-14;2;2019-04-16;59;-96,61%
Albania;16;2020-04-15;2;2019-04-17;72;-97,22%
Albania;16;2020-04-16;4;2019-04-18;76;-94,74%
Albania;16;2020-04-17;6;2019-04-19;87;-93,10%
Albania;16;2020-04-18;5;2019-04-20;68;-92,65%
Albania;16;2020-04-19;4;2019-04-21;77;-94,81%
Albania;17;2020-04-20;8;2019-04-22;79;-89,87%
Albania;17;2020-04-21;6;2019-04-23;73;-91,78%
Albania;17;2020-04-22;4;2019-04-24;87;-95,40%
Albania;17;2020-04-23;8;2019-04-25;77;-89,61%
Albania;17;2020-04-24;12;2019-04-26;82;-85,37%
Albania;17;2020-04-25;4;2019-04-27;70;-94,29%
Albania;17;2020-04-26;2;2019-04-28;80;-97,50%
Albania;18;2020-04-27;6;2019-04-29;81;-92,59%
Albania;18;2020-04-28;5;2019-04-30;82;-93,90%
Albania;18;2020-04-29;12;2019-05-01;79;-84,81%
Albania;18;2020-04-30;7;2019-05-02;81;-91,36%
Albania;18;2020-05-01;2;2019-05-03;89;-97,75%
Albania;18;2020-05-02;2;2019-05-04;73;-97,26%
Albania;18;2020-05-03;6;2019-05-05;81;-92,59%
Albania;19;2020-05-04;6;2019-05-06;81;-92,59%
Albania;19;2020-05-05;8;2019-05-07;68;-88,24%
Albania;19;2020-05-06;12;2019-05-08;83;-85,54%
Albania;19;2020-05-07;10;2019-05-09;86;-88,37%
Albania;19;2020-05-08;10;2019-05-10;83;-87,95%
Albania;19;2020-05-09;7;2019-05-11;74;-90,54%
Albania;19;2020-05-10;0;2019-05-12;76;-100,00%
Albania;20;2020-05-11;4;2019-05-13;83;-95,18%
Albania;20;2020-05-12;8;2019-05-14;71;-88,73%
Albania;20;2020-05-13;10;2019-05-15;68;-85,29%
Albania;20;2020-05-14;7;2019-05-16;74;-90,54%
Albania;20;2020-05-15;12;2019-05-17;83;-85,54%
Albania;20;2020-05-16;4;2019-05-18;74;-94,59%
Albania;20;2020-05-17;4;2019-05-19;73;-94,52%
Albania;21;2020-05-18;6;2019-05-20;82;-92,68%
Albania;21;2020-05-19;4;2019-05-21;65;-93,85%
Albania;21;2020-05-20;12;2019-05-22;73;-83,56%
Albania;21;2020-05-21;10;2019-05-23;76;-86,84%
Albania;21;2020-05-22;10;2019-05-24;85;-88,24%
Albania;21;2020-05-23;6;2019-05-25;75;-92,00%
Albania;21;2020-05-24;5;2019-05-26;76;-93,42%
Albania;22;2020-05-25;2;2019-05-27;78;-97,44%
Albania;22;2020-05-26;4;2019-05-28;76;-94,74%
Albania;22;2020-05-27;4;2019-05-29;71;-94,37%
Albania;22;2020-05-28;13;2019-05-30;74;-82,43%
Albania;22;2020-05-29;17;2019-05-31;88;-80,68%
Albania;22;2020-05-30;11;2019-06-01;78;-85,90%
Albania;22;2020-05-31;6;2019-06-02;79;-92,41%
Albania;23;2020-06-01;8;2019-06-03;93;-91,40%
Albania;23;2020-06-02;8;2019-06-04;88;-90,91%
Albania;23;2020-06-03;11;2019-06-05;69;-84,06%
Albania;23;2020-06-04;4;2019-06-06;76;-94,74%
Albania;23;2020-06-05;11;2019-06-07;91;-87,91%
Albania;23;2020-06-06;6;2019-06-08;81;-92,59%
Albania;23;2020-06-07;2;2019-06-09;80;-97,50%
Albania;24;2020-06-08;16;2019-06-10;95;-83,16%
Albania;24;2020-06-09;4;2019-06-11;100;-96,00%
Albania;24;2020-06-10;10;2019-06-12;72;-86,11%
Albania;24;2020-06-11;7;2019-06-13;78;-91,03%
Albania;24;2020-06-12;6;2019-06-14;96;-93,75%
Albania;24;2020-06-13;4;2019-06-15;80;-95,00%
Albania;24;2020-06-14;4;2019-06-16;80;-95,00%
Albania;25;2020-06-15;14;2019-06-17;94;-85,11%
Albania;25;2020-06-16;14;2019-06-18;97;-85,57%
Albania;25;2020-06-17;20;2019-06-19;75;-73,33%
Albania;25;2020-06-18;19;2019-06-20;81;-76,54%
Albania;25;2020-06-19;14;2019-06-21;96;-85,42%
Albania;25;2020-06-20;8;2019-06-22;84;-90,48%
Albania;25;2020-06-21;11;2019-06-23;83;-86,75%
Albania;26;2020-06-22;22;2019-06-24;105;-79,05%
Albania;26;2020-06-23;28;2019-06-25;111;-74,77%
Albania;26;2020-06-24;30;2019-06-26;93;-67,74%
Albania;26;2020-06-25;31;2019-06-27;88;-64,77%
Albania;26;2020-06-26;40;2019-06-28;104;-61,54%
Albania;26;2020-06-27;23;2019-06-29;87;-73,56%
Albania;26;2020-06-28;24;2019-06-30;77;-68,83%
Albania;27;2020-06-29;32;2019-07-01;101;-68,32%
Albania;27;2020-06-30;34;2019-07-02;120;-71,67%
Albania;27;2020-07-01;45;2019-07-03;96;-53,13%
Albania;27;2020-07-02;47;2019-07-04;88;-46,59%
Albania;27;2020-07-03;64;2019-07-05;98;-34,69%
Albania;27;2020-07-04;38;2019-07-06;86;-55,81%
Albania;27;2020-07-05;49;2019-07-07;77;-36,36%
Albania;28;2020-07-06;58;2019-07-08;99;-41,41%
Albania;28;2020-07-07;43;2019-07-09;117;-63,25%
Albania;28;2020-07-08;44;2019-07-10;94;-53,19%
Albania;28;2020-07-09;45;2019-07-11;95;-52,63%
Albania;28;2020-07-10;59;2019-07-12;105;-43,81%
Albania;28;2020-07-11;34;2019-07-13;93;-63,44%
Albania;28;2020-07-12;49;2019-07-14;85;-42,35%
Albania;29;2020-07-13;75;2019-07-15;106;-29,25%
Albania;29;2020-07-14;68;2019-07-16;131;-48,09%
Albania;29;2020-07-15;51;2019-07-17;97;-47,42%
Albania;29;2020-07-16;59;2019-07-18;96;-38,54%
Albania;29;2020-07-17;79;2019-07-19;108;-26,85%
Albania;29;2020-07-18;64;2019-07-20;94;-31,91%
Albania;29;2020-07-19;67;2019-07-21;86;-22,09%
Albania;30;2020-07-20;86;2019-07-22;99;-13,13%
Albania;30;2020-07-21;72;2019-07-23;125;-42,40%
Albania;30;2020-07-22;62;2019-07-24;92;-32,61%
Albania;30;2020-07-23;74;2019-07-25;109;-32,11%
Albania;30;2020-07-24;90;2019-07-26;107;-15,89%
Albania;30;2020-07-25;64;2019-07-27;92;-30,43%
Albania;30;2020-07-26;64;2019-07-28;84;-23,81%
Albania;31;2020-07-27;84;2019-07-29;106;-20,75%
Albania;31;2020-07-28;67;2019-07-30;126;-46,83%
Albania;31;2020-07-29;70;2019-07-31;100;-30,00%
Albania;31;2020-07-30;69;2019-08-01;107;-35,51%
Albania;31;2020-07-31;88;2019-08-02;106;-16,98%
Albania;31;2020-08-01;73;2019-08-03;96;-23,96%
Albania;31;2020-08-02;82;2019-08-04;88;-6,82%
Albania;32;2020-08-03;86;2019-08-05;108;-20,37%
Albania;32;2020-08-04;65;2019-08-06;124;-47,58%
Albania;32;2020-08-05;81;2019-08-07;99;-18,18%
Albania;32;2020-08-06;67;2019-08-08;99;-32,32%
Albania;32;2020-08-07;96;2019-08-09;109;-11,93%
Albania;32;2020-08-08;56;2019-08-10;95;-41,05%
Albania;32;2020-08-09;73;2019-08-11;88;-17,05%
Albania;33;2020-08-10;83;2019-08-12;102;-18,63%
Albania;33;2020-08-11;63;2019-08-13;126;-50,00%
Albania;33;2020-08-12;71;2019-08-14;91;-21,98%
Albania;33;2020-08-13;63;2019-08-15;98;-35,71%
Albania;33;2020-08-14;93;2019-08-16;106;-12,26%
Albania;33;2020-08-15;56;2019-08-17;94;-40,43%
Albania;33;2020-08-16;75;2019-08-18;89;-15,73%
Albania;34;2020-08-17;85;2019-08-19;103;-17,48%
Albania;34;2020-08-18;64;2019-08-20;125;-48,80%
Albania;34;2020-08-19;80;2019-08-21;95;-15,79%
Albania;34;2020-08-20;68;2019-08-22;105;-35,24%
Albania;34;2020-08-21;89;2019-08-23;110;-19,09%
Albania;34;2020-08-22;58;2019-08-24;92;-36,96%
Albania;34;2020-08-23;69;2019-08-25;88;-21,59%
Albania;35;2020-08-24;81;2019-08-26;103;-21,36%
Albania;35;2020-08-25;67;2019-08-27;121;-44,63%
Albania;35;2020-08-26;70;2019-08-28;98;-28,57%
Albania;35;2020-08-27;66;2019-08-29;92;-28,26%
Albania;35;2020-08-28;95;2019-08-30;103;-7,77%
Albania;35;2020-08-29;56;2019-08-31;96;-41,67%
Albania;35;2020-08-30;74;2019-09-01;86;-13,95%
Albania;36;2020-08-31;76;2019-09-02;103;-26,21%
Albania;36;2020-09-01;64;2019-09-03;129;-50,39%
Albania;36;2020-09-02;59;2019-09-04;92;-35,87%
Albania;36;2020-09-03;67;2019-09-05;96;-30,21%
Albania;36;2020-09-04;89;2019-09-06;103;-13,59%
Albania;36;2020-09-05;53;2019-09-07;94;-43,62%
Albania;36;2020-09-06;64;2019-09-08;89;-28,09%
Albania;37;2020-09-07;69;2019-09-09;100;-31,00%
Albania;37;2020-09-08;57;2019-09-10;124;-54,03%
Albania;37;2020-09-09;57;2019-09-11;84;-32,14%
Albania;37;2020-09-10;52;2019-09-12;93;-44,09%
Albania;37;2020-09-11;81;2019-09-13;102;-20,59%
Albania;37;2020-09-12;46;2019-09-14;92;-50,00%
Albania;37;2020-09-13;62;2019-09-15;86;-27,91%
Albania;38;2020-09-14;61;2019-09-16;100;-39,00%
Albania;38;2020-09-15;50;2019-09-17;111;-54,95%
Albania;38;2020-09-16;45;2019-09-18;75;-40,00%
Albania;38;2020-09-17;43;2019-09-19;88;-51,14%
Albania;38;2020-09-18;68;2019-09-20;96;-29,17%
Albania;38;2020-09-19;46;2019-09-21;82;-43,90%
Albania;38;2020-09-20;58;2019-09-22;84;-30,95%
Albania;39;2020-09-21;53;2019-09-23;75;-29,33%
Albania;39;2020-09-22;45;2019-09-24;93;-51,61%
Albania;39;2020-09-23;49;2019-09-25;66;-25,76%
Albania;39;2020-09-24;45;2019-09-26;76;-40,79%
Albania;39;2020-09-25;70;2019-09-27;76;-7,89%
Albania;39;2020-09-26;36;2019-09-28;68;-47,06%
Albania;39;2020-09-27;56;2019-09-29;76;-26,32%
Albania;40;2020-09-28;61;2019-09-30;89;-31,46%
Albania;40;2020-09-29;40;2019-10-01;83;-51,81%
Albania;40;2020-09-30;52;2019-10-02;77;-32,47%
Albania;40;2020-10-01;57;2019-10-03;79;-27,85%
Albania;40;2020-10-02;71;2019-10-04;73;-2,74%
Albania;40;2020-10-03;47;2019-10-05;72;-34,72%
Albania;40;2020-10-04;58;2019-10-06;78;-25,64%
Albania;41;2020-10-05;48;2019-10-07;80;-40,00%
Albania;41;2020-10-06;35;2019-10-08;69;-49,28%
Albania;41;2020-10-07;50;2019-10-09;71;-29,58%
Albania;41;2020-10-08;44;2019-10-10;77;-42,86%
Albania;41;2020-10-09;51;2019-10-11;87;-41,38%
Albania;41;2020-10-10;43;2019-10-12;66;-34,85%
Albania;41;2020-10-11;51;2019-10-13;80;-36,25%
Albania;42;2020-10-12;51;2019-10-14;77;-33,77%
Albania;42;2020-10-13;37;2019-10-15;74;-50,00%
Albania;42;2020-10-14;40;2019-10-16;75;-46,67%
Albania;42;2020-10-15;43;2019-10-17;80;-46,25%
Albania;42;2020-10-16;59;2019-10-18;80;-26,25%
Albania;42;2020-10-17;46;2019-10-19;69;-33,33%
Albania;42;2020-10-18;48;2019-10-20;78;-38,46%
Albania;43;2020-10-19;54;2019-10-21;81;-33,33%
Albania;43;2020-10-20;39;2019-10-22;64;-39,06%
Albania;43;2020-10-21;34;2019-10-23;77;-55,84%
Albania;43;2020-10-22;48;2019-10-24;90;-46,67%
Albania;43;2020-10-23;58;2019-10-25;77;-24,68%
Albania;43;2020-10-24;56;2019-10-26;59;-5,08%
Albania;43;2020-10-25;57;2019-10-27;78;-26,92%
Albania;44;2020-10-26;56;2019-10-28;78;-28,21%
Albania;44;2020-10-27;43;2019-10-29;63;-31,75%
Albania;44;2020-10-28;42;2019-10-30;64;-34,38%
Albania;44;2020-10-29;44;2019-10-31;77;-42,86%
Albania;44;2020-10-30;52;2019-11-01;78;-33,33%
Albania;44;2020-10-31;40;2019-11-02;61;-34,43%
Albania;44;2020-11-01;57;2019-11-03;77;-25,97%
Albania;45;2020-11-02;65;2019-11-04;74;-12,16%
Albania;45;2020-11-03;31;2019-11-05;62;-50,00%
Albania;45;2020-11-04;44;2019-11-06;65;-32,31%
Albania;45;2020-11-05;48;2019-11-07;76;-36,84%
Albania;45;2020-11-06;51;2019-11-08;79;-35,44%
Albania;45;2020-11-07;40;2019-11-09;58;-31,03%
Albania;45;2020-11-08;58;2019-11-10;73;-20,55%
Albania;46;2020-11-09;59;2019-11-11;72;-18,06%
Albania;46;2020-11-10;40;2019-11-12;56;-28,57%
Albania;46;2020-11-11;43;2019-11-13;63;-31,75%
Albania;46;2020-11-12;46;2019-11-14;75;-38,67%
Albania;46;2020-11-13;69;2019-11-15;78;-11,54%
Albania;46;2020-11-14;38;2019-11-16;64;-40,63%
Albania;46;2020-11-15;44;2019-11-17;79;-44,30%
Albania;47;2020-11-16;56;2019-11-18;79;-29,11%
Albania;47;2020-11-17;26;2019-11-19;60;-56,67%
Albania;47;2020-11-18;39;2019-11-20;66;-40,91%
Albania;47;2020-11-19;39;2019-11-21;76;-48,68%
Albania;47;2020-11-20;53;2019-11-22;74;-28,38%
Albania;47;2020-11-21;29;2019-11-23;60;-51,67%
Albania;47;2020-11-22;32;2019-11-24;71;-54,93%
Albania;48;2020-11-23;37;2019-11-25;68;-45,59%
Albania;48;2020-11-24;15;2019-11-26;83;-81,93%
Albania;48;2020-11-25;23;2019-11-27;69;-66,67%
Albania;48;2020-11-26;26;2019-11-28;76;-65,79%
Albania;48;2020-11-27;36;2019-11-29;76;-52,63%
Albania;48;2020-11-28;29;2019-11-30;62;-53,23%
Albania;48;2020-11-29;32;2019-12-01;85;-62,35%
Albania;49;2020-11-30;36;2019-12-02;84;-57,14%
Albania;49;2020-12-01;13;2019-12-03;57;-77,19%
Albania;49;2020-12-02;36;2019-12-04;68;-47,06%
Albania;49;2020-12-03;31;2019-12-05;69;-55,07%
Albania;49;2020-12-04;39;2019-12-06;77;-49,35%
Albania;49;2020-12-05;34;2019-12-07;63;-46,03%
Albania;49;2020-12-06;32;2019-12-08;80;-60,00%
Albania;50;2020-12-07;39;2019-12-09;73;-46,58%
Albania;50;2020-12-08;20;2019-12-10;61;-67,21%
Albania;50;2020-12-09;26;2019-12-11;63;-58,73%
Albania;50;2020-12-10;32;2019-12-12;71;-54,93%
Albania;50;2020-12-11;40;2019-12-13;68;-41,18%
Albania;50;2020-12-12;34;2019-12-14;69;-50,72%
Albania;50;2020-12-13;36;2019-12-15;79;-54,43%
Albania;51;2020-12-14;43;2019-12-16;84;-48,81%
Albania;51;2020-12-15;19;2019-12-17;66;-71,21%
Albania;51;2020-12-16;23;2019-12-18;69;-66,67%
Albania;51;2020-12-17;43;2019-12-19;84;-48,81%
Albania;51;2020-12-18;53;2019-12-20;89;-40,45%
Albania;51;2020-12-19;49;2019-12-21;79;-37,97%
Albania;51;2020-12-20;49;2019-12-22;84;-41,67%
Albania;52;2020-12-21;43;2019-12-23;80;-46,25%
Albania;52;2020-12-22;36;2019-12-24;73;-50,68%
Albania;52;2020-12-23;38;2019-12-25;73;-47,95%
Albania;52;2020-12-24;37;2019-12-26;84;-55,95%
Albania;52;2020-12-25;21;2019-12-27;80;-73,75%
Albania;52;2020-12-26;26;2019-12-28;74;-64,86%
Albania;52;2020-12-27;43;2019-12-29;89;-51,69%
Albania;53;2020-12-28;46;2019-12-30;79;-41,77%
Albania;53;2020-12-29;21;2019-12-31;70;-70,00%
Albania;53;2020-12-30;30;2020-01-01;68;-55,88%
Albania;53;2020-12-31;23;2020-01-02;83;-72,29%
Armenia;1;2020-01-01;73;2019-01-02;60;21,67%
Armenia;1;2020-01-02;76;2019-01-03;66;15,15%
Armenia;1;2020-01-03;72;2019-01-04;67;7,46%
Armenia;1;2020-01-04;86;2019-01-05;67;28,36%
Armenia;1;2020-01-05;86;2019-01-06;89;-3,37%
Armenia;2;2020-01-06;87;2019-01-07;87;0,00%
Armenia;2;2020-01-07;92;2019-01-08;80;15,00%
Armenia;2;2020-01-08;88;2019-01-09;64;37,50%
Armenia;2;2020-01-09;73;2019-01-10;68;7,35%
Armenia;2;2020-01-10;70;2019-01-11;63;11,11%
Armenia;2;2020-01-11;77;2019-01-12;63;22,22%
Armenia;2;2020-01-12;70;2019-01-13;68;2,94%
Armenia;3;2020-01-13;72;2019-01-14;50;44,00%
Armenia;3;2020-01-14;69;2019-01-15;66;4,55%
Armenia;3;2020-01-15;72;2019-01-16;52;38,46%
Armenia;3;2020-01-16;66;2019-01-17;57;15,79%
Armenia;3;2020-01-17;66;2019-01-18;64;3,13%
Armenia;3;2020-01-18;77;2019-01-19;60;28,33%
Armenia;3;2020-01-19;68;2019-01-20;65;4,62%
Armenia;4;2020-01-20;66;2019-01-21;48;37,50%
Armenia;4;2020-01-21;69;2019-01-22;60;15,00%
Armenia;4;2020-01-22;61;2019-01-23;46;32,61%
Armenia;4;2020-01-23;69;2019-01-24;54;27,78%
Armenia;4;2020-01-24;60;2019-01-25;53;13,21%
Armenia;4;2020-01-25;69;2019-01-26;57;21,05%
Armenia;4;2020-01-26;70;2019-01-27;56;25,00%
Armenia;5;2020-01-27;59;2019-01-28;50;18,00%
Armenia;5;2020-01-28;65;2019-01-29;62;4,84%
Armenia;5;2020-01-29;56;2019-01-30;49;14,29%
Armenia;5;2020-01-30;57;2019-01-31;49;16,33%
Armenia;5;2020-01-31;60;2019-02-01;55;9,09%
Armenia;5;2020-02-01;67;2019-02-02;59;13,56%
Armenia;5;2020-02-02;68;2019-02-03;59;15,25%
Armenia;6;2020-02-03;61;2019-02-04;48;27,08%
Armenia;6;2020-02-04;68;2019-02-05;58;17,24%
Armenia;6;2020-02-05;54;2019-02-06;48;12,50%
Armenia;6;2020-02-06;62;2019-02-07;53;16,98%
Armenia;6;2020-02-07;59;2019-02-08;57;3,51%
Armenia;6;2020-02-08;66;2019-02-09;57;15,79%
Armenia;6;2020-02-09;66;2019-02-10;59;11,86%
Armenia;7;2020-02-10;59;2019-02-11;48;22,92%
Armenia;7;2020-02-11;67;2019-02-12;64;4,69%
Armenia;7;2020-02-12;57;2019-02-13;48;18,75%
Armenia;7;2020-02-13;57;2019-02-14;53;7,55%
Armenia;7;2020-02-14;64;2019-02-15;53;20,75%
Armenia;7;2020-02-15;68;2019-02-16;61;11,48%
Armenia;7;2020-02-16;66;2019-02-17;58;13,79%
Armenia;8;2020-02-17;59;2019-02-18;50;18,00%
Armenia;8;2020-02-18;67;2019-02-19;60;11,67%
Armenia;8;2020-02-19;52;2019-02-20;52;0,00%
Armenia;8;2020-02-20;60;2019-02-21;48;25,00%
Armenia;8;2020-02-21;57;2019-02-22;56;1,79%
Armenia;8;2020-02-22;73;2019-02-23;57;28,07%
Armenia;8;2020-02-23;65;2019-02-24;58;12,07%
Armenia;9;2020-02-24;65;2019-02-25;49;32,65%
Armenia;9;2020-02-25;66;2019-02-26;58;13,79%
Armenia;9;2020-02-26;59;2019-02-27;52;13,46%
Armenia;9;2020-02-27;51;2019-02-28;48;6,25%
Armenia;9;2020-02-28;62;2019-03-01;55;12,73%
Armenia;9;2020-02-29;69;2019-03-02;57;21,05%
Armenia;9;2020-03-01;68;2019-03-03;60;13,33%
Armenia;10;2020-03-02;61;2019-03-04;51;19,61%
Armenia;10;2020-03-03;68;2019-03-05;60;13,33%
Armenia;10;2020-03-04;59;2019-03-06;52;13,46%
Armenia;10;2020-03-05;58;2019-03-07;50;16,00%
Armenia;10;2020-03-06;61;2019-03-08;57;7,02%
Armenia;10;2020-03-07;78;2019-03-09;57;36,84%
Armenia;10;2020-03-08;61;2019-03-10;57;7,02%
Armenia;11;2020-03-09;68;2019-03-11;49;38,78%
Armenia;11;2020-03-10;69;2019-03-12;59;16,95%
Armenia;11;2020-03-11;62;2019-03-13;53;16,98%
Armenia;11;2020-03-12;52;2019-03-14;49;6,12%
Armenia;11;2020-03-13;62;2019-03-15;59;5,08%
Armenia;11;2020-03-14;67;2019-03-16;63;6,35%
Armenia;11;2020-03-15;64;2019-03-17;58;10,34%
Armenia;12;2020-03-16;61;2019-03-18;56;8,93%
Armenia;12;2020-03-17;53;2019-03-19;58;-8,62%
Armenia;12;2020-03-18;45;2019-03-20;49;-8,16%
Armenia;12;2020-03-19;33;2019-03-21;53;-37,74%
Armenia;12;2020-03-20;37;2019-03-22;60;-38,33%
Armenia;12;2020-03-21;20;2019-03-23;60;-66,67%
Armenia;12;2020-03-22;23;2019-03-24;61;-62,30%
Armenia;13;2020-03-23;17;2019-03-25;57;-70,18%
Armenia;13;2020-03-24;19;2019-03-26;61;-68,85%
Armenia;13;2020-03-25;13;2019-03-27;51;-74,51%
Armenia;13;2020-03-26;11;2019-03-28;55;-80,00%
Armenia;13;2020-03-27;14;2019-03-29;61;-77,05%
Armenia;13;2020-03-28;17;2019-03-30;61;-72,13%
Armenia;13;2020-03-29;9;2019-03-31;55;-83,64%
Armenia;14;2020-03-30;13;2019-04-01;53;-75,47%
Armenia;14;2020-03-31;2;2019-04-02;55;-96,36%
Armenia;14;2020-04-01;6;2019-04-03;53;-88,68%
Armenia;14;2020-04-02;4;2019-04-04;50;-92,00%
Armenia;14;2020-04-03;7;2019-04-05;53;-86,79%
Armenia;14;2020-04-04;3;2019-04-06;55;-94,55%
Armenia;14;2020-04-05;6;2019-04-07;54;-88,89%
Armenia;15;2020-04-06;5;2019-04-08;49;-89,80%
Armenia;15;2020-04-07;10;2019-04-09;62;-83,87%
Armenia;15;2020-04-08;7;2019-04-10;50;-86,00%
